3,1,1346.00,364.09,173.72,627.78,1,-1,-1,-1
3,2,431.27,376.81,133.76,490.20,1,-1,-1,-1
3,3,575.58,372.02,106.59,470.97,1,-1,-1,-1
3,4,729.46,441.43,37.88,144.58,1,-1,-1,-1
3,5,1451.93,356.18,152.19,594.06,1,-1,-1,-1
3,6,1255.93,373.23,40.19,176.72,1,-1,-1,-1
3,7,545.94,403.95,39.14,161.57,1,-1,-1,-1
3,8,938.08,356.02,35.84,136.98,1,-1,-1,-1
4,1,1347.12,343.52,179.67,649.95,1,-1,-1,-1
4,2,431.57,377.88,133.83,489.16,1,-1,-1,-1
4,3,576.46,372.81,106.54,470.14,1,-1,-1,-1
4,4,729.62,439.39,38.59,147.41,1,-1,-1,-1
4,5,1464.07,363.38,149.83,585.76,1,-1,-1,-1
4,6,1256.05,373.78,40.04,176.08,1,-1,-1,-1
4,7,545.42,400.81,39.45,162.77,1,-1,-1,-1
4,8,938.04,355.28,35.92,136.95,1,-1,-1,-1
5,1,1353.14,341.10,180.93,655.65,1,-1,-1,-1
5,2,432.37,378.92,133.89,488.12,1,-1,-1,-1
5,3,575.64,373.05,106.51,469.90,1,-1,-1,-1
5,4,729.85,438.77,38.43,146.83,1,-1,-1,-1
5,5,1472.43,359.62,149.44,584.55,1,-1,-1,-1
5,6,1256.07,373.97,39.99,175.89,1,-1,-1,-1
5,8,938.09,355.78,35.83,136.22,1,-1,-1,-1
6,1,1356.78,331.31,183.62,667.84,1,-1,-1,-1
6,2,433.30,377.79,134.70,489.25,1,-1,-1,-1
6,3,576.87,373.12,105.61,466.26,1,-1,-1,-1
6,4,729.85,438.63,38.51,147.25,1,-1,-1,-1
6,5,1477.83,349.59,152.08,596.49,1,-1,-1,-1
6,6,1256.19,374.74,39.73,175.14,1,-1,-1,-1
6,8,937.55,355.23,36.18,137.41,1,-1,-1,-1
7,1,1364.63,332.18,181.44,664.25,1,-1,-1,-1
7,2,434.73,377.36,135.52,490.37,1,-1,-1,-1
7,3,575.53,371.71,106.74,471.35,1,-1,-1,-1
7,4,730.31,440.02,38.29,146.65,1,-1,-1,-1
7,5,1479.03,346.78,152.43,599.96,1,-1,-1,-1
7,6,1255.56,375.71,39.58,174.90,1,-1,-1,-1
8,1,1372.87,323.87,181.12,671.43,1,-1,-1,-1
8,2,435.28,377.19,136.36,490.79,1,-1,-1,-1
8,3,575.43,371.90,107.06,472.50,1,-1,-1,-1
8,4,730.57,440.56,37.99,145.71,1,-1,-1,-1
8,5,1488.52,338.95,153.70,608.03,1,-1,-1,-1
8,6,1254.67,376.04,39.44,174.14,1,-1,-1,-1
8,8,936.70,355.83,35.96,136.27,1,-1,-1,-1
9,1,1381.39,321.68,179.07,674.48,1,-1,-1,-1
9,2,435.79,375.75,137.34,492.30,1,-1,-1,-1
9,3,575.55,369.92,107.56,474.96,1,-1,-1,-1
9,4,730.52,440.09,38.15,146.70,1,-1,-1,-1
9,5,1496.00,329.39,156.51,621.72,1,-1,-1,-1
9,6,1254.07,375.45,39.98,175.94,1,-1,-1,-1
10,1,1389.62,315.05,177.12,679.38,1,-1,-1,-1
10,2,436.14,375.22,137.97,492.86,1,-1,-1,-1
10,3,575.30,369.20,107.64,475.18,1,-1,-1,-1
10,4,727.48,418.37,43.56,169.29,1,-1,-1,-1
10,5,1511.19,328.62,156.90,628.69,1,-1,-1,-1
10,6,1253.88,375.23,40.13,175.94,1,-1,-1,-1
